Num,Name,year,month,day,MA,perih,node,i,e,a,H0,G,Dia,DiaSrc,PEU/POS_1sigma,#Rings,#Moons,OrbSrc,OrbDate,Class,DiaUncert,ErrorMajor,ErrorMinor,ErrorMajorPA
476,Hedwig,2025,2,11,269.1279421265,0.6506289021,286.1797449498,10.9252629745,0.074881202493,2.649180839484,8.71,0.15,121.7,M,0.0027,0,0,JPL#134,2024-Dec-12,Binary,6.8,0.00258,0.00062,109.7
477,Italia,2025,2,11,322.4422589286,322.4857771468,10.6386243569,5.2879597115,0.187402638449,2.415906073306,10.27,0.15,23.7,M,0.0017,0,0,JPL#67,2024-Oct-12,Binary,1.4,0.00150,0.00015,78.9
487,Venetia,2025,2,11,305.9656969571,281.7892474392,114.7522406132,10.2534805763,0.086227041972,2.669561738733,8.44,0.15,62.6,M,0.0027,0,0,JPL#120,2024-Dec-12,Binary,3.2,0.00267,0.00043,76.9
488,Kreusa,2025,2,11,16.3911557925,77.2052178688,82.9806856667,11.4762831007,0.158250861761,3.166357333729,7.88,0.15,156.8,M,0.0080,0,0,JPL#134,2024-Dec-12,Binary,8.8,0.00800,0.00078,118.6
504,Cora,2025,2,11,66.1740099839,248.6479733895,104.4274971919,12.9016603674,0.216081497878,2.723845647887,10.16,0.15,30.2,M,0.0030,0,0,JPL#70,2024-Dec-12,Binary,1.8,0.00295,0.00020,68.2
516,Amherstia,2025,2,11,6.3247605226,258.0753654111,328.7153760289,12.9536419728,0.275544756342,2.677785349483,8.38,0.15,65.7,M,0.0043,0,0,JPL#114,2024-Dec-12,Binary,3.2,0.00433,0.00042,88.4
519,Sylvania,2025,2,11,42.0096048563,303.0597850713,44.6824642179,11.0115766846,0.183080814483,2.791140514934,9.15,0.15,45.0,M,0.0027,0,0,JPL#68,2024-Dec-12,Binary,2.6,0.00257,0.00022,57.0
521,Brixia,2025,2,11,265.0122991239,316.2306545624,89.5800425720,10.5844196615,0.278499919201,2.743899513306,8.62,-0.06,116.8,M,0.0017,0,0,JPL#117,2024-Dec-15,Binary,5.8,0.00170,0.00025,90.9
532,Herculina,2025,2,11,75.9877038976,76.6871846028,107.4108449314,16.2988920961,0.179987571480,2.770404775192,5.92,0.26,195.3,M,0.0027,0,0,JPL#132,2024-Aug-01,Binary,11.0,0.00237,0.00094,97.2
542,Susanna,2025,2,11,97.3128606102,216.4647854795,152.8294029354,12.0765864646,0.143619305465,2.904645774076,9.41,0.15,41.6,M,0.0027,0,0,JPL#144,2024-Dec-12,Binary,2.0,0.00249,0.00026,89.0
542,Susanna,2025,2,11,97.3128606102,216.4647854795,152.8294029354,12.0765864646,0.143619305465,2.904645774076,9.41,0.15,41.6,M,0.0027,0,0,JPL#144,2024-Dec-12,Binary,2.0,0.00249,0.00026,89.0
